Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2020S004170    ;2;Eixample;7;la Dreta de l'Eixample;49509;Bruc;0017 0017;Dilluns;2020;9;Setembre;14;19;Tarda;Manca precaució incorporació circulació;431082.49 ;4582644.49;217.563.935.062.453;413.923.818.526.772
2020S004636    ;2;Eixample;7;la Dreta de l'Eixample;278459;Reina Victòria;9998 9998;Dimarts;2020;10;Octubre;6;8;Matí;Manca d'atenció a la conducció;430557.69 ;4582525.42;216.937.620.861.173;413.912.642.864.543
2020S005326    ;2;Eixample;7;la Dreta de l'Eixample;278459;Reina Victòria;9998 9998;Dijous;2020;11;Novembre;12;21;Tarda;No respectar distàncies;430531.07 ;4582463.6 ;216.906.491.996.854;413.907.051.949.364
2020S002871    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0094 0094;Dimecres;2020;7;Juliol;1;16;Tarda;Gir indegut o sense precaució;429836.05 ;4582774.51;216.071.644.694.078;413.934.451.246.813
2020S000139    ;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;0334 0336;Dimecres;2020;1;Gener;8;21;Tarda;Manca precaució incorporació circulació;430548.49 ;4582912.13;216.922.182.861.518;413.947.464.627.977
2020S005427    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0019B0019B;Dimecres;2020;11;Novembre;18;20;Tarda;Gir indegut o sense precaució;430456.33 ;4582637.21;216.815.109.274.312;413.922.623.847.000
2020S004291    ;2;Eixample;7;la Dreta de l'Eixample;176801;Roger de Llúria;0051 0051;Dissabte;2020;9;Setembre;19;17;Tarda;No respectar distàncies;430590.8  ;4582954.38;216.972.304.672.959;413.951.306.475.002
2020S003591    ;2;Eixample;7;la Dreta de l'Eixample;176801;Roger de Llúria;0061 0063;Divendres;2020;8;Agost;7;2;Nit;No respectar distàncies;430498.67 ;4583050.27;216.861.008.781.702;413.959.863.399.122
2020S006257    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0045 0045;Dimecres;2020;12;Desembre;30;15;Tarda;Canvi de carril sense precaució;430331.7  ;4582822.56;216.663.915.626.808;413.939.209.843.219
2020S004342    ;2;Eixample;7;la Dreta de l'Eixample;350308;València;0306 0306;Dimarts;2020;9;Setembre;22;14;Tarda;No respectar distàncies;430383.73 ;4583111.1 ;216.722.829.648.819;413.965.242.731.577
2020S002179    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0225 0225;Dimecres;2020;5;Maig;13;17;Tarda;Manca precaució incorporació circulació;430022.75 ;4582583.06;216.297.159.707.840;413.917.370.662.810
2020S003687    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0225 0225;Divendres;2020;8;Agost;14;22;Nit;Gir indegut o sense precaució;430022.75 ;4582583.06;216.297.159.707.840;413.917.370.662.810
