Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2022S001017    ;9;Sant Andreu;62;el Congrés i els Indians;160608;Pardo / Can Ros                                   ;0015 0015;Diumenge;2022;2;Febrer;20;10;Matí;No és causa del  vianant;0;1;0;1;2;431785,97;4586669,89;218.249.683.590.984;414.268.515.290.005
2022S005700    ;9;Sant Andreu;62;el Congrés i els Indians;121402;Felip II                                          ;0157 0161;Dijous;2022;9;Setembre;22;9;Matí;No és causa del  vianant;0;1;0;1;1;431750,67;4586337,22;218.211.199.516.583;414.238.522.819.066
2022S006857    ;8;Nou Barris;45;Porta;356905;Verdum / Jardins d'Alfàbia                        ;0022 0024;Dijous;2022;11;Novembre;10;9;Matí;Desobeir el senyal del semàfor;0;1;0;1;1;431057,48;4587824,66;217.364.737.773.858;414.371.898.690.789
2022S004455    ;8;Nou Barris;45;Porta;356905;República                                         ;0032 0032;Dijous;2022;7;Juliol;21;0;Nit;No és causa del  vianant;0;1;0;1;1;431091,06;4587936,28;217.403.654.288.574;414.381.980.733.403
2022S007764    ;8;Nou Barris;46;el Turó de la Peira;103003;Doctor Pi i Molist / Alcúdia                      ;0077 0077;Dilluns;2022;12;Desembre;19;15;Tarda;No és causa del  vianant;0;2;0;2;2;430981,57;4587476,78;217.277.860.777.268;414.340.501.179.555
2022S002646    ;8;Nou Barris;46;el Turó de la Peira;119003;Fabra i Puig                                      ;0344 0344;Dimecres;2022;5;Maig;4;18;Tarda;No és causa del  vianant;0;1;0;1;1;430501,62;4587100,19;216.707.790.339.706;414.306.168.886.624
2022S005867    ;9;Sant Andreu;63;Navas;115603;Sant Antoni Maria Claret / Espronceda             ;0374X0374X;Divendres;2022;9;Setembre;30;10;Matí;No és causa del  vianant;0;1;0;1;2;432043,72;4585865,52;218.567.173.821.193;414.196.286.979.938
2022S007729    ;9;Sant Andreu;63;Navas;209900;Meridiana / Las Navas de Tolosa                   ;0212 0212;Diumenge;2022;12;Desembre;18;10;Matí;No és causa del  vianant;0;2;0;2;2;432141,03;4585382,64;218.689.031.416.923;414.152.877.819.504
2022S000854    ;9;Sant Andreu;63;Navas;297001;Sant Antoni Maria Claret                          ;0271 0271;Diumenge;2022;2;Febrer;13;3;Nit;No és causa del  vianant;0;1;0;1;5;431805,56;4585654,83;218.284.583.431.066;414.177.108.857.854
2022S006158    ;9;Sant Andreu;63;Navas;297001;Sant Antoni Maria Claret                          ;0287 0287;Dijous;2022;10;Octubre;13;16;Tarda;No és causa del  vianant;0;1;0;1;2;431864,41;4585712,29;218.354.349.894.153;414.182.334.061.609
