Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2017S010332    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;28000;Augusta                                           ;0021 0023;Dijous;2017;12;Desembre;14;12;Matí;No hi ha causa mediata;429407.50;4583386.16
2017S002526    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;70607;SANTALÓ / Madrazo                                 ;0258 0258;Dimecres;2017;3;Març;29;18;Tarda;No hi ha causa mediata;428845.42;4583036.32
2017S009251    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;55807;Francesc Macià                                    ;0006 0006;Dijous;2017;11;Novembre;9;7;Matí;No hi ha causa mediata;428491.06;4582935.23
2017S009000    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;55603;Calvet                                            ;0058 0058;Dimarts;2017;10;Octubre;31;14;Tarda;No hi ha causa mediata;428385.13;4583262.41
2017S002500    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;223606;SANTALÓ                                           ;0230 0230;Dimecres;2017;3;Març;29;0;Nit;Alcoholèmia;428993.23;4583086.08
2017S009474    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;139805;Bori i Fontestà / Ganduxer                        ;0020 0020;Dimecres;2017;11;Novembre;15;15;Tarda;No hi ha causa mediata;428091.31;4582975.78
2017S010634    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;139805;Ganduxer / Bori i Fontestà                        ;0020 0020;Diumenge;2017;12;Desembre;24;1;Nit;No hi ha causa mediata;428091.31;4582975.78
2017S007328    ;5;Sarrià-Sant Gervasi;23;Sarrià;25602;J. V. Foix / Escull                               ;0002 0002;Divendres;2017;9;Setembre;1;19;Tarda;No hi ha causa mediata;426497.37;4583518.34
2017S005253    ;5;Sarrià-Sant Gervasi;23;Sarrià;28000;Augusta / Institut Químic de Sarrià               ;0367 0367;Dijous;2017;6;Juny;15;21;Tarda;No hi ha causa mediata;426523.69;4583979.01
2017S008606    ;5;Sarrià-Sant Gervasi;23;Sarrià;44709;Bonanova / Augusta                                ;0104 0106;Dimecres;2017;10;Octubre;18;22;Nit;No hi ha causa mediata;426743.08;4583808.88
2017S001510    ;5;Sarrià-Sant Gervasi;23;Sarrià;104301;RDA DALT (BESÒS)                                  ;0016 0020;Dijous;2017;2;Febrer;23;20;Tarda;No hi ha causa mediata;426642.94;4583892.20
2017S002506    ;5;Sarrià-Sant Gervasi;23;Sarrià;227108;SALVADOR MUNDÍ / Euterpe                          ;0010 0010;Dimarts;2017;3;Març;28;20;Tarda;No hi ha causa mediata;426614.14;4583641.55
2017S000577    ;5;Sarrià-Sant Gervasi;23;Sarrià;107300;AV J. V. FOIX                                     ;0015 0015;Dissabte;2017;1;Gener;21;21;Tarda;No hi ha causa mediata;426638.39;4582909.80
2017S005057    ;5;Sarrià-Sant Gervasi;23;Sarrià;701268;Dalt (Besòs)                                      ;650000;Divendres;2017;6;Juny;9;15;Tarda;No hi ha causa mediata;425910.22;4583445.84
2017S005274    ;5;Sarrià-Sant Gervasi;23;Sarrià;320908;Sarrià a Vallvidrera                              ;0156 0156;Divendres;2017;6;Juny;16;11;Matí;No hi ha causa mediata;425637.80;4584615.05
2017S008509    ;5;Sarrià-Sant Gervasi;23;Sarrià;144408;B-20 (Besòs)                                      ;9999 9999;Dilluns;2017;10;Octubre;16;16;Tarda;No hi ha causa mediata;426436.38;4584336.28
2017S003232    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;44709;Bonanova / Calatrava                              ;0067 0067;Divendres;2017;4;Abril;7;16;Tarda;No hi ha causa mediata;427108.27;4584047.05
2017S002480    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;103502;RDA GENERAL MITRE / Via Augusta                   ;0064B0064B;Dimarts;2017;3;Març;28;15;Tarda;No hi ha causa mediata;427333.47;4583559.64
2017S007403    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;97308;Calatrava / Dalmases                              ;0046 0046;Dimarts;2017;9;Setembre;5;13;Matí;No hi ha causa mediata;427183.29;4583985.32
2017S003596    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;16907;Anglí                                             ;0004 0004;Dissabte;2017;4;Abril;22;8;Matí;Alcoholèmia;427191.25;4583538.07
2017S002286    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;103502;DOCTOR ROUX                                       ;0008 0012;Dimecres;2017;3;Març;22;11;Matí;No hi ha causa mediata;427598.61;4583186.75
2017S009736    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;103502;Doctor Roux                                       ;0037 0037;Dijous;2017;11;Novembre;23;9;Matí;No hi ha causa mediata;427529.13;4583260.34
2017S008704    ;5;Sarrià-Sant Gervasi;23;Sarrià;312808;Santa Amèlia / Benet Mateu                        ;0053 0053;Dissabte;2017;10;Octubre;14;10;Matí;No hi ha causa mediata;426970.13;4583178.22
2017S002112    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;121107;BALMES                                            ;0006 0006;Dijous;2017;3;Març;16;10;Matí;No hi ha causa mediata;428000.61;4584387.38
2017S007095    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;177906;Lleó XIII / Mas Yebra                             ;0013B0013B;Diumenge;2017;8;Agost;20;19;Tarda;No hi ha causa mediata;427991.18;4585017.47
2017S009280    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701268;B-20 (Llobregat)                                  ;810000;Dijous;2017;11;Novembre;9;18;Tarda;No hi ha causa mediata;426848.16;4584681.18
2017S004824    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;279600;República Argentina                               ;0065 0065;Dijous;2017;6;Juny;1;15;Tarda;No hi ha causa mediata;428727.05;4584801.89
2017S004429    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;General Mitre                                     ;0253U0253U;Divendres;2017;5;Maig;19;8;Matí;No hi ha causa mediata;428875.83;4584387.99
2017S000559    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;BALLESTER                                         ;0255U0255U;Divendres;2017;1;Gener;20;21;Tarda;No hi ha causa mediata;428894.70;4584393.24
2017S005965    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;139805;Ganduxer                                          ;0110 0110;Dissabte;2017;7;Juliol;8;14;Tarda;No hi ha causa mediata;427584.45;4583903.68
2017S006664    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;267000;Príncep d'Astúries                                ;0053 0053;Dimarts;2017;8;Agost;1;15;Tarda;No hi ha causa mediata;429047.76;4584263.35
2017S004881    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;267000;Príncep d'Astúries                                ;0067 0069;Dissabte;2017;6;Juny;3;2;Nit;Alcoholèmia;429038.22;4584359.46
2017S010400    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;174704;General Mitre / Jules Verne                       ;0023 0023;Dissabte;2017;12;Desembre;16;13;Matí;No hi ha causa mediata;428499.33;4584287.35
2017S004335    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;General Mitre / Berna                             ;0220 0220;Dimarts;2017;5;Maig;16;8;Matí;No hi ha causa mediata;428782.30;4584340.99
2017S006465    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;143904;General Mitre / Berna                             ;0222 0222;Dilluns;2017;7;Juliol;24;13;Matí;No hi ha causa mediata;428807.44;4584342.31
2017S002178    ;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;701564;CTRA VALLVI PLANES / Vesc                         ;0033 0033;Divendres;2017;3;Març;17;15;Tarda;No hi ha causa mediata;424841.39;4586524.66
2017S006411    ;6;Gràcia;28;Vallcarca i els Penitents;69200;Dalt (Besòs)                                      ;0015 0015;Dissabte;2017;7;Juliol;22;18;Tarda;No hi ha causa mediata;428143.61;4585642.23
2017S010191    ;6;Gràcia;28;Vallcarca i els Penitents;230000;Mare de Déu del Coll                              ;0009 0013;Dijous;2017;12;Desembre;7;11;Matí;No hi ha causa mediata;428607.60;4585275.42
2017S007473    ;6;Gràcia;28;Vallcarca i els Penitents;701267;B-20 (Besòs)                                      ;6,00E+00;Divendres;2017;9;Setembre;8;10;Matí;No hi ha causa mediata;428022.17;4585473.76
2017S001500    ;6;Gràcia;28;Vallcarca i els Penitents;219303;RDA DALT(LLOBREGAT                                ;0024 0024;Dijous;2017;2;Febrer;23;14;Tarda;No hi ha causa mediata;428503.31;4585798.50
