Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S004459    ;2;Eixample;7;la Dreta de l'Eixample;207803;Méndez Núñez;0018 0018;Dilluns;2021;8;Agost;9;19;Tarda;No és causa del  vianant;0;1;0;1;2;431308,53;4582621,94;2.177.243.057;41.390.349.504
2021S005222    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0064 0064;Dilluns;2021;9;Setembre;20;11;Matí;No és causa del  vianant;0;1;0;1;2;430052,58;4582567,84;2.162.228.162;41.389.753.939
2021S003602    ;2;Eixample;7;la Dreta de l'Eixample;342900;Trafalgar;0043 0043;Dimecres;2021;6;Juny;30;12;Matí;No és causa del  vianant;0;1;0;1;2;431343,82;4582620,77;2.177.665.259;41.390.341.981
2021S003009    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0133 0133;Dissabte;2021;6;Juny;5;13;Matí;No és causa del  vianant;0;1;0;1;2;429646,54;4583195;2.157.299.089;41.395.367.124
2021S006227    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9999 9999;Dimarts;2021;11;Novembre;2;19;Tarda;No és causa del  vianant;0;1;0;1;2;430557,83;4582516,3;2.168.276.802;41.389.333.538
2021S005851    ;2;Eixample;6;la Sagrada Família;18505;Aragó;0517 0519;Dilluns;2021;10;Octubre;18;17;Tarda;Altres;0;1;0;1;1;431747,87;4584301,55;2.182.308.135;41.405.514.686
2021S000874    ;2;Eixample;7;la Dreta de l'Eixample;305100;Sant Joan;0027 0027;Divendres;2021;2;Febrer;19;13;Matí;No és causa del  vianant;0;1;0;1;1;431323;4582935,04;2.177.380.595;41.393.170.740
2021S002327    ;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;0382 0382;Dimecres;2021;5;Maig;5;10;Matí;No és causa del  vianant;0;1;0;1;2;430834,61;4583177,96;2.171.511.435;41.395.316.768
2021S005848    ;2;Eixample;7;la Dreta de l'Eixample;342900;Trafalgar;0027 0027;Dilluns;2021;10;Octubre;18;7;Matí;No és causa del  vianant;0;1;0;1;2;431244,12;4582535,02;2.176.482.584;41.389.561.134
2021S003485    ;2;Eixample;5;el Fort Pienc;197302;Marina;0212 0212;Dijous;2021;6;Juny;24;14;Tarda;No és causa del  vianant;0;1;0;1;2;431488,47;4583807,61;2.179.260.920;41.401.043.841
2021S000651    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0015 0015;Dilluns;2021;2;Febrer;8;9;Matí;No és causa del  vianant;0;1;0;1;1;430335,08;4582248,74;2.165.643.544;41.386.904.436
2021S004568    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0259 0259;Dilluns;2021;8;Agost;16;20;Tarda;No és causa del  vianant;0;1;0;1;2;430207,91;4582788,32;2.164.060.469;41.391.753.232
2021S006459    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0082 0084;Dijous;2021;11;Novembre;11;17;Tarda;No és causa del  vianant;0;1;0;1;2;429908,84;4582715,09;2.160.492.003;41.391.067.651
2021S005259    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0021 0021;Dimarts;2021;9;Setembre;21;17;Tarda;No és causa del  vianant;0;1;0;1;2;430417,75;4582634,32;2.166.587.908;41.390.384.394
